"","predicate","N","response","bootsci_high","bootsci_low"
"370","lonely",19,0.627368421052632,0.730013157894737,0.515789473684211
"371","long",16,0.751875,0.82625,0.668109375
"372","loud",19,0.67578947368421,0.775263157894737,0.563684210526316
"373","lovely",21,0.707619047619048,0.808571428571429,0.588571428571429
"374","loving",14,0.687142857142857,0.805714285714286,0.550696428571429
"375","low",23,0.526086956521739,0.636086956521739,0.412608695652174
"376","lucky",20,0.7545,0.8265125,0.677
"377","Macedonian",15,0.254666666666667,0.41735,0.112666666666667
"378","magnetic",15,0.404,0.542666666666667,0.264666666666667
"379","main",12,0.483333333333333,0.5875,0.364166666666667
"380","major",21,0.621428571428571,0.724761904761905,0.505714285714286
"381","Malaysian",13,0.0938461538461538,0.176153846153846,0.03
"382","male",29,0.210344827586207,0.319655172413793,0.113793103448276
"383","mandatory",19,0.250526315789474,0.381578947368421,0.135263157894737
"384","manned",26,0.282307692307692,0.378846153846154,0.189990384615385
"385","many",27,0.60962962962963,0.707407407407407,0.504814814814815
"386","maritime",26,0.17,0.265384615384615,0.0876923076923077
"387","marvelous",20,0.721,0.8235,0.6065
"388","mass",20,0.2665,0.3795,0.1569875
"389","massive",22,0.685,0.763636363636364,0.604090909090909
"390","maternal",23,0.564782608695652,0.676521739130435,0.445217391304348
"391","mathematical",18,0.218888888888889,0.327791666666666,0.123888888888889
"392","mechanical",25,0.3152,0.4232,0.2144
"393","medical",26,0.242692307692308,0.340394230769231,0.152307692307692
"394","Mediterranean",22,0.225,0.345011363636363,0.118625
"395","mental",24,0.545833333333333,0.648333333333333,0.4375
"396","mere",17,0.650588235294118,0.712941176470588,0.587058823529412
"397","metallic",22,0.248181818181818,0.328636363636364,0.174090909090909
"398","methodological",26,0.363076923076923,0.474615384615385,0.251913461538462
"399","metrical",18,0.371111111111111,0.522777777777778,0.225555555555556
"400","metropolitan",25,0.3224,0.43081,0.2192
"401","Mexican",21,0.176666666666667,0.30047619047619,0.0747619047619048
